Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,SEO Title,SEO Description,Status
burgundy-organza-kimono-robe,Burgundy Organza Kimono Robe,"<p>Elevate your wardrobe with this stunning burgundy organza kimono robe. Featuring a luxurious sheer fabric with delicate floral embroidery and scalloped lace borders, this piece is perfect for layering over evening wear or as a statement coverup.</p><ul><li>Premium organza fabric with sheer finish</li><li>Intricate floral embroidery throughout</li><li>Scalloped lace trim on borders</li><li>Tie-waist closure</li><li>Full-length sleeves</li><li>Dry clean only</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Kimonos,"kimono, organza, burgundy, embroidered, ethnic wear, party wear, festive",TRUE,Size,Free Size,,,ZB-KMN-001,500,shopify,25,deny,manual,4999,5999,TRUE,TRUE,Burgundy Organza Kimono Robe | Zara Boutique,Shop this elegant burgundy organza kimono robe with intricate floral embroidery and scalloped lace borders. Perfect for festive occasions.,active
maroon-embroidered-salwar-suit,Maroon Embroidered Salwar Suit Set,"<p>Make a statement with this exquisite maroon salwar suit set. The kurta features stunning intricate embroidery on the yoke and decorative patterns throughout. Comes with matching embroidered pants and a beautiful contrast dupatta with golden border accents.</p><ul><li>3-piece set: Kurta, Pants, Dupatta</li><li>Premium quality fabric</li><li>Detailed thread embroidery on yoke</li><li>Matching embroidered pants</li><li>Contrasting dupatta with golden embroidered border</li><li>Regular fit</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Salwar Suit Sets,"salwar suit, maroon, embroidered, ethnic wear, festive wear, wedding, 3-piece set",TRUE,Size,S,,,ZB-SST-002,600,shopify,20,deny,manual,5499,6999,TRUE,TRUE,Maroon Embroidered Salwar Suit Set | Zara Boutique,Elegant 3-piece maroon salwar suit set featuring intricate embroidery and contrast dupatta with golden border accents.,active
maroon-embroidered-salwar-suit,Maroon Embroidered Salwar Suit Set,"<p>Make a statement with this exquisite maroon salwar suit set. The kurta features stunning intricate embroidery on the yoke and decorative patterns throughout. Comes with matching embroidered pants and a beautiful contrast dupatta with golden border accents.</p><ul><li>3-piece set: Kurta, Pants, Dupatta</li><li>Premium quality fabric</li><li>Detailed thread embroidery on yoke</li><li>Matching embroidered pants</li><li>Contrasting dupatta with golden embroidered border</li><li>Regular fit</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Salwar Suit Sets,"salwar suit, maroon, embroidered, ethnic wear, festive wear, wedding, 3-piece set",TRUE,Size,M,,,ZB-SST-002-M,600,shopify,20,deny,manual,5499,6999,TRUE,TRUE,,,active
maroon-embroidered-salwar-suit,Maroon Embroidered Salwar Suit Set,"<p>Make a statement with this exquisite maroon salwar suit set. The kurta features stunning intricate embroidery on the yoke and decorative patterns throughout. Comes with matching embroidered pants and a beautiful contrast dupatta with golden border accents.</p><ul><li>3-piece set: Kurta, Pants, Dupatta</li><li>Premium quality fabric</li><li>Detailed thread embroidery on yoke</li><li>Matching embroidered pants</li><li>Contrasting dupatta with golden embroidered border</li><li>Regular fit</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Salwar Suit Sets,"salwar suit, maroon, embroidered, ethnic wear, festive wear, wedding, 3-piece set",TRUE,Size,L,,,ZB-SST-002-L,600,shopify,20,deny,manual,5499,6999,TRUE,TRUE,,,active
maroon-embroidered-salwar-suit,Maroon Embroidered Salwar Suit Set,"<p>Make a statement with this exquisite maroon salwar suit set. The kurta features stunning intricate embroidery on the yoke and decorative patterns throughout. Comes with matching embroidered pants and a beautiful contrast dupatta with golden border accents.</p><ul><li>3-piece set: Kurta, Pants, Dupatta</li><li>Premium quality fabric</li><li>Detailed thread embroidery on yoke</li><li>Matching embroidered pants</li><li>Contrasting dupatta with golden embroidered border</li><li>Regular fit</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Salwar Suit Sets,"salwar suit, maroon, embroidered, ethnic wear, festive wear, wedding, 3-piece set",TRUE,Size,XL,,,ZB-SST-002-XL,600,shopify,20,deny,manual,5499,6999,TRUE,TRUE,,,active
coral-embroidered-kurta,Coral Embroidered Kurta,"<p>Add a pop of color to your collection with this beautiful coral embroidered kurta. Featuring intricate threadwork on the yoke and delicate embroidery throughout. Perfect for casual outings or semi-formal occasions.</p><ul><li>Premium cotton blend fabric</li><li>Round neckline with notch detail</li><li>Beautiful yoke embroidery</li><li>Three-quarter sleeves with border detail</li><li>Knee-length</li><li>Regular fit</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Kurtas,"kurta, coral, pink, embroidered, ethnic wear, casual wear",TRUE,Size,S,,,ZB-KRT-003,400,shopify,30,deny,manual,2999,3999,TRUE,TRUE,Coral Embroidered Kurta | Zara Boutique,Beautiful coral kurta featuring intricate threadwork embroidery on the yoke and three-quarter sleeves.,active
coral-embroidered-kurta,Coral Embroidered Kurta,"<p>Add a pop of color to your collection with this beautiful coral embroidered kurta. Featuring intricate threadwork on the yoke and delicate embroidery throughout. Perfect for casual outings or semi-formal occasions.</p><ul><li>Premium cotton blend fabric</li><li>Round neckline with notch detail</li><li>Beautiful yoke embroidery</li><li>Three-quarter sleeves with border detail</li><li>Knee-length</li><li>Regular fit</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Kurtas,"kurta, coral, pink, embroidered, ethnic wear, casual wear",TRUE,Size,M,,,ZB-KRT-003-M,400,shopify,30,deny,manual,2999,3999,TRUE,TRUE,,,active
coral-embroidered-kurta,Coral Embroidered Kurta,"<p>Add a pop of color to your collection with this beautiful coral embroidered kurta. Featuring intricate threadwork on the yoke and delicate embroidery throughout. Perfect for casual outings or semi-formal occasions.</p><ul><li>Premium cotton blend fabric</li><li>Round neckline with notch detail</li><li>Beautiful yoke embroidery</li><li>Three-quarter sleeves with border detail</li><li>Knee-length</li><li>Regular fit</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Kurtas,"kurta, coral, pink, embroidered, ethnic wear, casual wear",TRUE,Size,L,,,ZB-KRT-003-L,400,shopify,30,deny,manual,2999,3999,TRUE,TRUE,,,active
coral-peach-salwar-suit,Coral Peach Embroidered Salwar Suit,"<p>Embrace elegance with this stunning coral peach salwar suit set. The kurta features beautiful gota patti work and embroidery on the yoke. Paired with matching pants and a gorgeous organza dupatta with embroidered border.</p><ul><li>3-piece set: Kurta, Pants, Dupatta</li><li>Premium fabric with soft finish</li><li>Gota patti detailing on yoke</li><li>Three-quarter sleeves</li><li>Organza dupatta with embroidered border</li><li>Regular fit</li><li>Dry clean recommended</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Salwar Suit Sets,"salwar suit, coral, peach, gota patti, embroidered, festive wear, wedding",TRUE,Size,S,,,ZB-SST-004,550,shopify,18,deny,manual,5999,7499,TRUE,TRUE,Coral Peach Salwar Suit Set | Zara Boutique,Elegant 3-piece coral peach salwar suit featuring gota patti work and beautiful organza dupatta with embroidered border.,active
coral-peach-salwar-suit,Coral Peach Embroidered Salwar Suit,"<p>Embrace elegance with this stunning coral peach salwar suit set. The kurta features beautiful gota patti work and embroidery on the yoke. Paired with matching pants and a gorgeous organza dupatta with embroidered border.</p><ul><li>3-piece set: Kurta, Pants, Dupatta</li><li>Premium fabric with soft finish</li><li>Gota patti detailing on yoke</li><li>Three-quarter sleeves</li><li>Organza dupatta with embroidered border</li><li>Regular fit</li><li>Dry clean recommended</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Salwar Suit Sets,"salwar suit, coral, peach, gota patti, embroidered, festive wear, wedding",TRUE,Size,M,,,ZB-SST-004-M,550,shopify,18,deny,manual,5999,7499,TRUE,TRUE,,,active
